pubchem_cid	smiles
3911113	CC1=C(C=C(C=C1)C2=CSC(=NC3=CN=CC=C3)N2CCCN4C=CN=C4)C
3267796	CC1=CC2=C(N1C)C=CC(=C2)CNC(=O)C3=CC(=C(C=C3)OC)OC
4601866	C1=CC(=CC=C1CCNC(=O)CCCCCN2C(=O)C3=C(C=CC(=C3)Br)NC2=S)S(=O)(=O)N
16460826	C/C(=C\1/C(=NN(C1=O)C2=NC3=CC=CC=C3S2)CC(=O)OC)/NC4=CC=C(C=C4)OC
6915727	CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H](C(C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C
16746083	C1=CC(=CC(=C1)Cl)NC2=NC=NC(=C2)C3=NC(=NC=C3)NCCCO
121930	C1CN(CCN1CCC2=CC=C(C=C2)N)C3=CC=CC(=C3)C(F)(F)F
2921215	CCCC(=O)NC(C1=C(C=C(C=C1)Cl)Cl)C2=C(C3=C(C=CC=N3)C=C2)O
17577500	COC1=CC2=C(C=C1)NC(=C2)C(=O)NN/C=C/3\C=CC(=O)C=C3O
6217600	CC1=NC=C(/C(=C/NNC2=NC=C(C=C2)C(F)(F)F)/C1=O)CO
9206325	CC1=NC2=CC=CC=C2C(=C1)C(=O)N3CCC(=CC3)C4=CC=CC=C4
