pubchem_cid	smiles	cluster
646124	COC1=C(C=CC(=C1)C(=O)NC2=CC3=C(C=C2)OCO3)N4C=NN=N4	7
408543	C1=CC=C2C(=C1)C=CC(=N2)SCC(=O)O	22
652110	CC(C)C1=NC2=CC=CC=C2C(=N1)SCC(=O)OC	25
661670	C1=CC=C2C(=C1)C=CC(=N2)SCCC(=O)O	22
2396077	C1=CC=C2C(=C1)C(=NC=N2)SCC(=O)NCC3=CC=CO3	76
2141449	C1=CC=C2C(=C1)C(=NC=N2)SCC(=O)NCCCO	76
3240414	CCC(=O)NC1=CC=C(C=C1)C(=O)NC2=CC3=C(C=C2)OCO3	7
801509	COC1=C(C=C(C=C1)Cl)C(=O)NC2=CC3=C(C=C2)OCO3	7
2218157	CCCCC(=O)NC1=CC=C(C=C1)C(=O)NC2=CC3=C(C=C2)OCO3	7
1081542	CC1=CC(=NO1)NC(=O)CSC2=NC(=O)C(=C(N2)C3=CC=CC=C3)C#N	121
2607885	CC1=CC(=NO1)NC(=O)CSC2=NC=NC3=CC=CC=C32	76
2380105	C1OC2=C(O1)C=C(C=C2)NC(=O)CSC3=NC=NC4=CC=CC=C43	76
2915784	CCC(C(=O)NC1=NOC(=C1)C)SC2=NC(=O)C(=C(N2)C3=CC=CC=C3)C#N	121
1442863	CC(C)C1=NC2=CC=CC=C2C(=N1)SCC(=O)NC3=CC=C(C=C3)N4CCOCC4	25
1451311	CCOC(=O)CSC1=NC(=NC2=CC=CC=C21)C(C)C	25
1442803	CC1=CC(=NO1)NC(=O)CSC2=NC(=NC3=CC=CC=C32)C(C)C	25
1307911	C1=CC=C2C(=C1)C=CC(=N2)SCC(=O)NC3=CC=C(C=C3)S(=O)(=O)N	22
2521191	CCCOC1=C(C=C(C=C1Cl)C(=O)NC2=CC3=C(C=C2)OCO3)OCC	7
1442817	CC1=NN=C(S1)NC(=O)CSC2=NC(=NC3=CC=CC=C32)C(C)C	25
1817439	C1=CSC(=C1)C2=C(C(=O)N=C(N2)SCC(=O)C3=CC=CS3)C#N	304
1038870	CC1=C(C(=CC=C1)NC(=O)CSC2=NC(=O)C(=C(N2)C3=CC=CC=C3)C#N)C	121
2915046	CCC(C(=O)NC1=NN=C(S1)C)SC2=NC(=O)C(=C(N2)C3=CC=CC=C3)C#N	121
890011	COC1=CC=C(C=C1)NC(=O)CCSC2=NC3=CC=CC=C3C=C2	22
4385170	CCOC1=CC=C(C=C1)C(CC(=O)O)NC(=O)C2=C(C3=CC=CC=C3S2)Cl	348
4385163	COC1=CC=C(C=C1)C(CC(=O)O)NC(=O)C2=C(C3=CC=CC=C3S2)Cl	348
4402099	C1=CC=C(C=C1)C2=C(C(=O)N=C(N2)SCC(=O)NC3=CC=CC=C3)C#N	121
3613213	C1=CC=C2C(=C1)C(=C(S2)C(=O)NC(CC(=O)O)C3=CC=C(C=C3)F)Cl	348
3100477	C1=CC=C2C(=C1)C(=C(S2)C(=O)NC(=S)NC3=CC=C(C=C3)S(=O)(=O)N=C(N)N)Cl	353
2970842	CC(C1CCCO1)NC(=O)C2=C(C3=CC=CC=C3S2)Cl	348
2241313	CCOC1=CC=C(C=C1)NC(=O)CCSC2=NC3=CC=CC=C3C=C2	22
2241315	COC1=CC=CC(=C1)NC(=O)CCSC2=NC3=CC=CC=C3C=C2	22
4149513	CC1=C(C=C(C=C1)NC(=O)CSC2=NC=NC3=CC=CC=C32)S(=O)(=O)N4CCCCCC4	76
4206032	CC1=C(C=C(C=C1)NC(=O)CSC2=NC=NC3=CC=CC=C32)S(=O)(=O)N4CCCCC4	76
2389378	CCN(CC)S(=O)(=O)C1=CC=C(C=C1)NC(=O)CSC2=NC=NC3=CC=CC=C32	76
5110655	CC1=C(C=C(C=C1)S(=O)(=O)N2CCCCC2)NC(=O)CSC3=NC=NC4=CC=CC=C43	76
2607891	CN(C)S(=O)(=O)C1=CC=C(C=C1)NC(=O)CSC2=NC=NC3=CC=CC=C32	76
2595072	C1=CC=C(C=C1)CCNC(=O)CSC2=NC=NC3=CC=CC=C32	76
1305405	C1=CC=C2C(=C1)C(=C(S2)C(=O)NC(=S)NC3=CC=CC=C3C(=O)O)Cl	353
2412434	C1=CC=C2C(=C1)C(=NC=N2)SCC(=O)NC3=CC=C(C=C3)S(=O)(=O)N	76
1234392	CC(=O)CSC1=NC(=O)C(=C(N1)C2=CC=CS2)C#N	304
2237594	C1=CC=C2C(=C1)C(=C(S2)C(=O)NC(=S)NCCO)Cl	353
1817440	CNC(=O)NC(=O)CSC1=NC(=O)C(=C(N1)C2=CC=CS2)C#N	304
1234393	C1=CSC(=C1)C2=C(C(=O)N=C(N2)SCC3=CC=C(C=C3)Cl)C#N	304
737004	CCOC(=O)CSC1=NC2=CC=CC=C2C=C1	22
1442861	CC(C)C1=NC2=CC=CC=C2C(=N1)SCC(=O)N3CC(=O)NC4=CC=CC=C43	25
4404530	C1=CC=C(C=C1)C2=C(C(=O)N=C(N2)SCC(=O)NC3=NN=C(S3)C(F)(F)F)C#N	121
4917226	C1CCC(C1)OC2=CC=C(C=C2)C(CC(=O)O)NC(=O)C3=C(C4=CC=CC=C4S3)Cl	348
3635365	CC1=CC(=NC(=N1)NS(=O)(=O)C2=CC=C(C=C2)NC(=O)CSC3=NC(=O)C(=C(N3)C4=CC=CC=C4)C#N)C	121
4039611	C1CCC(CC1)NC(=O)CSC2=NC(=O)C(=C(N2)C3=CC=CC=C3)C#N	121
5294687	CCCOC1=CC=C(C=C1)C(CC(=O)O)NC(=O)C2=C(C3=CC=CC=C3S2)Cl	348
2456758	C1COCCN1C2=CC=C(C=C2)NC(=O)CSC3=NC4=CC=CC=C4C=C3	22
2394340	CCOC(=O)NC(=O)CSC1=NC2=CC=CC=C2C=C1	22
2371304	C1OC2=C(O1)C=C(C=C2)CNC(=O)CSC3=NC=NC4=CC=CC=C43	76
2371073	C1COC2=C(O1)C=CC(=C2)NC(=O)CSC3=NC=NC4=CC=CC=C43	76
4465171	C1CCN(C1)S(=O)(=O)C2=CC=CC(=C2)NC(=O)CSC3=NC=NC4=CC=CC=C43	76
5198374	C1COCCN1S(=O)(=O)C2=CC=CC(=C2)NC(=O)CSC3=NC=NC4=CC=CC=C43	76
4648816	COC1=C(C=C(C=C1)S(=O)(=O)N2CCOCC2)NC(=O)CSC3=NC=NC4=CC=CC=C43	76
2377168	C1=CC=C2C(=C1)C(=NC=N2)SCC(=O)NCCC3=CC=C(C=C3)S(=O)(=O)N	76
3433386	C1=CC=C2C(=C1)C(=NC=N2)SCC(=O)NC3=CC(=CC=C3)S(=O)(=O)N	76
16241285	CN(C)C=O.CN(C)S(=O)(=O)C1=CC=CC(=C1)NC(=O)CSC2=NC=NC3=CC=CC=C32	76
3616560	CC1=C(C=C(C=C1)NC(=O)CSC2=NC=NC3=CC=CC=C32)S(=O)(=O)N4CCOCC4	76
2802193	CSC1=NC(=O)C(=C(N1)C2=CC=CS2)C#N	304
2727374	C1=CSC(=C1)C2=C(C(=O)N=C(N2)SCC(=O)C3=CC=C(C=C3)Br)C#N	304
2227579	CCCOC(=S)NC(=O)C1=C(C2=CC=CC=C2S1)Cl	353
780021	CCOC(=S)NC(=O)C1=C(C2=CC=CC=C2S1)Cl	353
